contract_id,clause_id,clause_type,clause_text,risk_level
CTR-0001,CTR-0001-C01,Definitions,"This definitions clause applies to contract CTR-0001. The parties agree to the rights, responsibilities, and obligations defined in this provision.",High
CTR-0001,CTR-0001-C02,Confidentiality,"This confidentiality clause applies to contract CTR-0001. The parties agree to the rights, responsibilities, and obligations defined in this provision.",Medium
CTR-0001,CTR-0001-C03,Exclusions,"This exclusions clause applies to contract CTR-0001. The parties agree to the rights, responsibilities, and obligations defined in this provision.",Low
CTR-0001,CTR-0001-C04,Term,"This term clause applies to contract CTR-0001. The parties agree to the rights, responsibilities, and obligations defined in this provision.",Low
CTR-0001,CTR-0001-C05,Termination,"This termination clause applies to contract CTR-0001. The parties agree to the rights, responsibilities, and obligations defined in this provision.",Low
CTR-0001,CTR-0001-C06,Governing Law,"This governing law clause applies to contract CTR-0001. The parties agree to the rights, responsibilities, and obligations defined in this provision.",High
CTR-0002,CTR-0002-C01,Scope of Services,"This scope of services clause applies to contract CTR-0002. The parties agree to the rights, responsibilities, and obligations defined in this provision.",High
CTR-0002,CTR-0002-C02,Payment Terms,"This payment terms clause applies to contract CTR-0002. The parties agree to the rights, responsibilities, and obligations defined in this provision.",Medium
CTR-0002,CTR-0002-C03,SLA,"This sla clause applies to contract CTR-0002. The parties agree to the rights, responsibilities, and obligations defined in this provision.",Low
CTR-0002,CTR-0002-C04,Indemnification,"This indemnification clause applies to contract CTR-0002. The parties agree to the rights, responsibilities, and obligations defined in this provision.",Low
CTR-0002,CTR-0002-C05,Termination,"This termination clause applies to contract CTR-0002. The parties agree to the rights, responsibilities, and obligations defined in this provision.",Low
CTR-0002,CTR-0002-C06,Liability,"This liability clause applies to contract CTR-0002. The parties agree to the rights, responsibilities, and obligations defined in this provision.",Low
CTR-0003,CTR-0003-C01,Compensation,"This compensation clause applies to contract CTR-0003. The parties agree to the rights, responsibilities, and obligations defined in this provision.",High
CTR-0003,CTR-0003-C02,Benefits,"This benefits clause applies to contract CTR-0003. The parties agree to the rights, responsibilities, and obligations defined in this provision.",Low
CTR-0003,CTR-0003-C03,Confidentiality,"This confidentiality clause applies to contract CTR-0003. The parties agree to the rights, responsibilities, and obligations defined in this provision.",High
